id	cluster
amt_679	amt
amt_365	amt
amt_378	amt
amt_105	amt
amt_799	amt
amt_317	amt
amt_641	amt
amt_92	amt
amt_479	amt
amt_286	amt
amt_436	amt
amt_31	amt
amt_36	amt
amt_371	amt
amt_636	amt
amt_771	amt
amt_149	amt
amt_210	amt
amt_690	amt
amt_72	amt
amt_712	amt
amt_323	amt
amt_674	amt
amt_234	amt
amt_521	amt
amt_459	amt
amt_122	amt
amt_177	amt
amt_516	amt
amt_619	amt
amt_622	amt
amt_657	amt
amt_157	amt
amt_159	amt
amt_352	amt
amt_23	amt
amt_693	amt
amt_470	amt
amt_248	amt
amt_282	amt
amt_694	amt
amt_109	amt
amt_205	amt
amt_549	amt
amt_354	amt
amt_489	amt
amt_34	amt
amt_183	amt
amt_752	amt
amt_609	amt
amt_244	amt
amt_130	amt
amt_739	amt
amt_125	amt
amt_88	amt
amt_388	amt
amt_27	amt
amt_98	amt
amt_432	amt
amt_185	amt
amt_49	amt
amt_608	amt
amt_464	amt
amt_193	amt
amt_734	amt
amt_507	amt
amt_654	amt
amt_207	amt
amt_682	amt
amt_555	amt
amt_564	amt
amt_172	amt
amt_488	amt
amt_544	amt
amt_589	amt
amt_706	amt
amt_128	amt
amt_625	amt
amt_680	amt
amt_465	amt
amt_697	amt
amt_535	amt
mc16_9	amt
amt_666	amt
amt_219	amt
amt_411	amt
amt_151	amt
amt_520	amt
amt_102	amt
amt_715	amt
mc16_45	amt
mc16_47	amt
amt_494	amt
amt_591	amt
amt_341	amt
amt_33	amt
amt_623	amt
amt_498	amt
amt_214	amt
amt_281	amt
amt_62	amt
amt_258	amt
amt_781	amt
amt_47	amt
amt_141	amt
amt_401	amt
amt_652	amt
amt_452	amt
amt_691	amt
amt_161	amt
amt_180	amt
amt_194	amt
amt_545	amt
mc16_26	amt
amt_446	amt
amt_246	amt
amt_374	amt
amt_547	amt
amt_136	amt
amt_56	amt
amt_457	amt
amt_146	amt
amt_629	amt
amt_188	amt
amt_392	amt
amt_550	amt
amt_309	amt
amt_772	amt
amt_754	amt
amt_41	amt
amt_289	amt
amt_541	amt
amt_408	amt
amt_699	amt
amt_631	amt
amt_725	amt
amt_249	amt
amt_346	amt
amt_684	amt
amt_115	amt
amt_414	amt
amt_236	amt
amt_585	amt
amt_63	amt
amt_368	amt
amt_391	amt
amt_107	amt
amt_305	amt
amt_306	amt
amt_403	amt
amt_291	amt
amt_726	amt
amt_381	amt
amt_40	amt
amt_4	amt
amt_290	amt
amt_261	amt
amt_681	amt
amt_626	amt
amt_11	amt
amt_279	amt
amt_508	amt
amt_174	amt
amt_137	amt
amt_433	amt
amt_95	amt
amt_367	amt
amt_500	amt
amt_373	amt
amt_382	amt
amt_310	amt
amt_270	amt
amt_169	amt
amt_704	amt
amt_104	amt
amt_566	amt
amt_332	amt
amt_776	amt
amt_42	amt
amt_444	amt
amt_196	amt
amt_527	amt
amt_46	amt
amt_435	amt
amt_707	amt
amt_721	amt
amt_595	amt
amt_486	amt
amt_163	amt
amt_54	amt
amt_675	amt
amt_672	amt
amt_509	amt
amt_749	amt
amt_768	amt
amt_10	amt
amt_356	amt
amt_644	amt
amt_755	amt
amt_206	amt
amt_628	amt
amt_761	amt
amt_504	amt
amt_709	amt
amt_578	amt
amt_145	amt
amt_301	amt
amt_285	amt
amt_454	amt
amt_743	amt
amt_133	amt
amt_19	amt
amt_642	amt
amt_110	amt
amt_587	amt
amt_406	amt
amt_277	amt
amt_331	amt
amt_396	amt
amt_673	amt
amt_756	amt
amt_447	amt
amt_611	amt
amt_82	amt
amt_419	amt
amt_612	amt
amt_671	amt
amt_240	amt
amt_455	amt
amt_70	amt
amt_658	amt
amt_204	amt
amt_517	amt
amt_659	amt
amt_497	amt
amt_302	amt
amt_32	amt
amt_364	amt
amt_613	amt
amt_99	amt
amt_268	amt
amt_714	amt
amt_222	amt
amt_372	amt
amt_567	amt
amt_158	amt
amt_710	amt
amt_297	amt
mc16_44	amt
mc16_46	amt
mc16_48	amt
amt_398	amt
amt_698	amt
amt_737	amt
amt_416	amt
amt_417	amt
amt_29	amt
amt_256	amt
amt_536	amt
amt_260	amt
amt_431	amt
amt_402	amt
amt_592	amt
amt_119	amt
amt_695	amt
amt_439	amt
amt_420	amt
amt_512	amt
amt_491	amt
amt_647	amt
amt_719	amt
amt_760	amt
amt_539	amt
amt_593	amt
amt_493	amt
amt_788	amt
amt_359	amt
amt_21	amt
amt_780	amt
amt_120	amt
amt_503	amt
amt_329	amt
amt_410	amt
amt_389	amt
amt_271	amt
amt_288	amt
amt_77	amt
amt_492	amt
amt_481	amt
amt_702	amt
amt_106	amt
amt_692	amt
amt_144	amt
amt_596	amt
amt_604	amt
amt_787	amt
amt_765	amt
amt_475	amt
amt_413	amt
amt_25	amt
amt_407	amt
amt_160	amt
amt_570	amt
amt_669	amt
amt_779	amt
amt_499	amt
amt_487	amt
amt_264	amt
amt_627	amt
amt_90	amt
amt_321	amt
amt_76	amt
amt_711	amt
amt_199	amt
amt_58	amt
amt_349	amt
amt_588	amt
amt_456	amt
amt_667	amt
amt_759	amt
amt_635	amt
amt_523	amt
mc16_43	amt
amt_320	amt
amt_347	amt
amt_192	amt
amt_53	amt
amt_74	amt
amt_689	amt
mc16_14	amt
amt_575	amt
amt_173	amt
amt_97	amt
amt_471	amt
amt_427	amt
amt_377	amt
amt_94	amt
amt_473	amt
amt_135	amt
amt_404	amt
amt_201	amt
amt_774	amt
amt_275	amt
amt_615	amt
amt_448	amt
amt_546	amt
amt_798	amt
amt_186	amt
amt_598	amt
amt_116	amt
amt_132	amt
amt_390	amt
amt_358	amt
amt_601	amt
amt_262	amt
amt_224	amt
amt_468	amt
amt_785	amt
amt_782	amt
amt_184	amt
amt_705	amt
amt_735	amt
amt_708	amt
amt_424	amt
amt_580	amt
mc16_36	amt
mc16_34	amt
mc16_35	amt
mc16_20	amt
mc16_21	amt
amt_645	amt
amt_767	amt
amt_164	amt
amt_773	amt
amt_610	amt
amt_265	amt
amt_324	amt
amt_280	amt
amt_723	amt
amt_576	amt
amt_463	amt
mc16_16	amt
mc16_37	amt
amt_533	amt
amt_394	amt
amt_73	amt
amt_337	amt
amt_438	amt
amt_560	amt
amt_522	amt
amt_14	amt
amt_165	amt
amt_78	amt
amt_138	amt
amt_485	amt
amt_348	amt
amt_43	amt
amt_191	amt
amt_750	amt
amt_237	amt
amt_584	amt
amt_150	amt
amt_100	amt
amt_638	amt
amt_293	amt
amt_661	amt
amt_221	amt
amt_379	amt
amt_441	amt
amt_252	amt
amt_336	amt
amt_318	amt
amt_728	amt
amt_30	amt
amt_474	amt
amt_581	amt
amt_731	amt
amt_685	amt
amt_395	amt
amt_322	amt
amt_226	amt
amt_171	amt
amt_64	amt
amt_763	amt
amt_478	amt
amt_393	amt
amt_449	amt
amt_311	amt
amt_87	amt
amt_143	amt
amt_123	amt
amt_126	amt
amt_732	amt
amt_5	amt
amt_314	amt
mc16_24	amt
amt_101	amt
amt_686	amt
amt_637	amt
mc16_15	amt
amt_344	amt
amt_44	amt
amt_211	amt
amt_170	amt
amt_696	amt
amt_304	amt
amt_426	amt
amt_747	amt
amt_200	amt
amt_340	amt
amt_650	amt
amt_134	amt
amt_59	amt
amt_445	amt
amt_590	amt
amt_266	amt
amt_572	amt
amt_273	amt
amt_490	amt
amt_351	out
amt_586	out
mc16rh_19	out
mc16rh_16	out
mc16rh_18	out
mc16rh_17	out
mc16rh_20	out
mc16rh_21	out
mc16rh_9	out
mc16rh_25	out
mc16rh_3	out
mc16rh_5	out
mc16rh_13	out
mc16rh_14	out
mc16rh_15	out
mc16rh_26	out
mc16rh_4	out
mc16rh_8	out
mc16rh_22	out
mc16rh_23	out
mc16rh_24	out
mc16rh_10	out
mc16rh_11	out
mc16rh_1	out
mc16rh_2	out
mc16rh_12	out
mc16rh_0	out
mc16rh_27	out
mc16rh_6	out
mc16rh_7	out
amt_793	out
mc16_42	out
amt_65	out
amt_251	out
amt_422	out
