genome	gtdb_taxopath	gtdb_fastani_reference	genbank_assembly
MMP4707922	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002171995	gtdb:GCA_002171995.1	insdc.gca:GCA_900473935.1
MMP4707921	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C		insdc.gca:GCA_900473965.1
MMP4707920	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp001632165	gtdb:GCF_001632165.1	insdc.gca:GCA_900473955.1
MMP4707919	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp000230675	gtdb:GCF_000230675.1	insdc.gca:GCA_900474245.1
MMP4707918	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C		insdc.gca:GCA_900474185.1
MMP4707917	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C		insdc.gca:GCA_900474015.1
MMP4707916	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002724845	gtdb:GCA_002724845.1	insdc.gca:GCA_900474045.1
MMP4707915	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002724845	gtdb:GCA_002724845.1	insdc.gca:GCA_900473975.1
MMP4707914	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002724845	gtdb:GCA_002724845.1	insdc.gca:GCA_900474085.1
MMP4707913	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002724845	gtdb:GCA_002724845.1	insdc.gca:GCA_900473925.1
MMP4707912	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_C;s__Synechococcus_C sp002724845	gtdb:GCA_002724845.1	insdc.gca:GCA_900473895.1
MMP4704834	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aequorivita;s__Aequorivita sp900489465	gtdb:GCF_900489465.1	insdc.gca:GCA_900489465.1
MMP4665500	d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus altitudinis	gtdb:GCF_000691145.1	insdc.gca:GCA_900411365.1
MMP4644771	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aequorivita;s__Aequorivita antarctica	gtdb:GCF_900489835.1	insdc.gca:GCA_900489835.1
MMP4644770	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aequorivita;s__Aequorivita lipolytica	gtdb:GCF_900489485.1	insdc.gca:GCA_900489485.1
MMP4610036	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio lentus_B	gtdb:GCF_002874155.1	insdc.gca:GCA_900382755.1
MMP4610035	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio tasmaniensis	gtdb:GCF_000272405.2	insdc.gca:GCA_900382745.1
MMP4591840	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio coralliirubri	gtdb:GCF_002156455.1	insdc.gca:GCA_900379685.1
MMP4591064	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella algidipiscicola	gtdb:GCF_900380485.1	insdc.gca:GCA_900380485.1
MMP4553727	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halomonadaceae;g__Cobetia;s__Cobetia marina	gtdb:GCF_001720485.1	insdc.gca:GCA_900119965.1
MMP4552037	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio aerogenes	gtdb:GCF_900130105.1	insdc.gca:GCA_900130105.1
MMP4520417	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Psychromonadaceae;g__Moritella;s__Moritella viscosa	gtdb:GCF_000953735.1	insdc.gca:GCA_900120015.1
MMP4520416	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Psychromonadaceae;g__Moritella;s__Moritella viscosa	gtdb:GCF_000953735.1	insdc.gca:GCA_900119985.1
MMP4520415	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Psychromonadaceae;g__Moritella;s__Moritella viscosa	gtdb:GCF_000953735.1	insdc.gca:GCA_900120035.1
MMP4520414	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Psychromonadaceae;g__Moritella;s__Moritella viscosa	gtdb:GCF_000953735.1	insdc.gca:GCA_900120115.1
MMP4520413	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Psychromonadaceae;g__Moritella;s__Moritella viscosa	gtdb:GCF_000953735.1	insdc.gca:GCA_900120305.1
MMP4520412	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Psychromonadaceae;g__Moritella;s__Moritella viscosa	gtdb:GCF_000953735.1	insdc.gca:GCA_900120105.1
MMP4520411	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Psychromonadaceae;g__Moritella;s__Moritella viscosa	gtdb:GCF_000953735.1	insdc.gca:GCA_900120075.1
MMP4520410	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Psychromonadaceae;g__Moritella;s__Moritella viscosa	gtdb:GCF_000953735.1	insdc.gca:GCA_900120145.1
MMP4520409	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Psychromonadaceae;g__Moritella;s__Moritella viscosa	gtdb:GCF_000953735.1	insdc.gca:GCA_900119925.1
MMP4520408	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Psychromonadaceae;g__Moritella;s__Moritella viscosa	gtdb:GCF_000953735.1	insdc.gca:GCA_900120285.1
MMP4520407	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Psychromonadaceae;g__Moritella;s__Moritella viscosa	gtdb:GCF_000953735.1	insdc.gca:GCA_900120025.1
MMP4520406	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Psychromonadaceae;g__Moritella;s__Moritella viscosa	gtdb:GCF_000953735.1	insdc.gca:GCA_900120065.1
MMP4475347	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Beggiatoales		insdc.gca:GCA_900099115.2
MMP4475189	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__Microbacterium sp900098805	gtdb:GCF_900098805.1	insdc.gca:GCA_900098805.1
MMP4467369	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Spongiibacteraceae;g__Oceanicoccus;s__Oceanicoccus sp900120175	gtdb:GCF_900120175.1	insdc.gca:GCA_900120175.1
MMP44539918	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pasteurellaceae;g__Pasteurella_A		insdc.gca:GCA_900454895.1
MMP4362424	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Photobacterium;s__Photobacterium damselae	gtdb:GCF_003026815.1	insdc.gca:GCA_900454585.1
MMP4360702	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloprofundus		insdc.gca:GCA_900094645.2
MMP4360701	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Methylococcales;f__Methylomonadaceae;g__Methyloprofundus		insdc.gca:GCA_900094635.1
MMP4346417	d__Bacteria;p__Verrucomicrobiota_A;c__Chlamydiia;o__Parachlamydiales;f__GCA-2709385		insdc.gca:GCA_900093625.1
MMP4346416	d__Bacteria;p__Verrucomicrobiota_A;c__Chlamydiia;o__Parachlamydiales;f__GCA-2709385		insdc.gca:GCA_900093655.1
MMP4076716	d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Actinomycetales;f__Dermatophilaceae;g__Kytococcus;s__Kytococcus sedentarius	gtdb:GCF_000023925.1	insdc.gca:GCA_900452405.1
MMP4071729	d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Clostridioides;s__Clostridioides difficile	gtdb:GCF_000438845.1	insdc.gca:GCA_900095905.1
MMP4034450	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Aquimarina;s__Aquimarina sp900312745	gtdb:GCF_900312745.1	insdc.gca:GCA_900089995.1
MMP4029005	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio celticus	gtdb:GCF_002156525.1	insdc.gca:GCA_900089965.1
MMP4029004	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio atlanticus	gtdb:GCF_900089855.1	insdc.gca:GCA_900089855.1
MMP4029003	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinomonadaceae;g__Marinomonas;s__Marinomonas spartinae	gtdb:GCF_900089775.1	insdc.gca:GCA_900089745.1
MMP4029002	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinomonadaceae;g__Marinomonas;s__Marinomonas spartinae	gtdb:GCF_900089775.1	insdc.gca:GCA_900089775.1
MMP4029001	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinomonadaceae;g__Marinomonas;s__Marinomonas gallaica	gtdb:GCF_001639745.1	insdc.gca:GCA_900089985.1
MMP4029000	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinomonadaceae;g__Marinomonas;s__Marinomonas gallaica	gtdb:GCF_001639745.1	insdc.gca:GCA_900089975.1
MMP4028999	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio splendidus	gtdb:GCF_001558015.1	insdc.gca:GCA_900089845.1
MMP4019367	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Marinomonadaceae;g__Marinomonas;s__Marinomonas aquimarina	gtdb:GCF_900089755.1	insdc.gca:GCA_900089755.1
MMP4016015	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio toranzoniae	gtdb:GCF_900089765.1	insdc.gca:GCA_900089765.1
MMP3925393	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella woodyi	gtdb:GCF_000019525.1	insdc.gca:GCA_900079515.1
MMP3872803	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Grimontia;s__Grimontia marina	gtdb:GCF_900060185.1	insdc.gca:GCA_900060185.1
MMP3872802	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Grimontia;s__Grimontia celer	gtdb:GCF_900055185.1	insdc.gca:GCA_900055185.1
MMP3861759	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Synechococcus_B;s__Synechococcus_B spongiarum_C	gtdb:GCF_900047545.1	insdc.gca:GCA_900047545.1
MMP3672562	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__Fusobacterium_A;s__Fusobacterium_A sp900015295	gtdb:GCF_900015295.1	insdc.gca:GCA_900015295.1
MMP3542246	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__Cognatishimia activus	gtdb:GCF_001458335.1	insdc.gca:GCA_001458235.1
MMP3542138	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cognatishimia;s__Cognatishimia activus	gtdb:GCF_001458335.1	insdc.gca:GCA_001458335.1
MMP3542137	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudopelagicola;s__Pseudopelagicola sp001458215	gtdb:GCF_001458215.1	insdc.gca:GCA_001458215.1
MMP3542132	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria;s__Ruegeria denitrificans	gtdb:GCF_001458295.1	insdc.gca:GCA_001458295.1
MMP3539551	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Leisingera;s__Leisingera aquaemixtae	gtdb:GCF_001458395.1	insdc.gca:GCA_001458395.1
MMP3535146	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pseudophaeobacter;s__Pseudophaeobacter sp001457775	gtdb:GCF_001457775.1	insdc.gca:GCA_001457775.1
MMP3532819	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Vibrionaceae;g__Vibrio;s__Vibrio coralliirubri	gtdb:GCF_002156455.1	insdc.gca:GCA_001486525.1
MMP3532112	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tropicibacter;s__Tropicibacter naphthalenivorans	gtdb:GCF_900176475.1	insdc.gca:GCA_001458375.1
MMP3532111	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Epibacterium_A;s__Epibacterium_A multivorans	gtdb:GCF_001458415.1	insdc.gca:GCA_001458415.1
MMP3532031	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Thalassobius;s__Thalassobius mediterraneus	gtdb:GCF_001458435.1	insdc.gca:GCA_001458435.1
MMP3531501	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Thalassobius;s__Thalassobius mediterraneus_B	gtdb:GCF_001458275.1	insdc.gca:GCA_001458275.1
MMP3531082	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Thalassobius;s__Thalassobius mediterraneus_B	gtdb:GCF_001458275.1	insdc.gca:GCA_001458255.1
MMP3530152	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Thalassobius;s__Thalassobius gelatinovorus	gtdb:GCF_001458355.1	insdc.gca:GCA_001458355.1
MMP3529277	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Thalassobacter;s__Thalassobacter stenotrophicus	gtdb:GCF_001458315.1	insdc.gca:GCA_001458315.1
MMP3528422	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Shimia;s__Shimia marina	gtdb:GCF_001458175.1	insdc.gca:GCA_001458175.1
MMP3528420	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria;s__Ruegeria atlantica	gtdb:GCF_001458195.1	insdc.gca:GCA_001458195.1
MMP3522225	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Ruegeria;s__Ruegeria atlantica	gtdb:GCF_001458195.1	insdc.gca:GCA_001458095.1
MMP3500511	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Alcanivoracaceae;g__Alcanivorax;s__Alcanivorax xenomutans	gtdb:GCF_900217905.1	insdc.gca:GCA_001411415.1
MMP3495743	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Labrenzia;s__Labrenzia alba	gtdb:GCF_001404515.1	insdc.gca:GCA_001406035.1
MMP3495742	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Labrenzia;s__Labrenzia alexandrii	gtdb:GCF_000158095.1	insdc.gca:GCA_001405815.1
MMP3495629	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Labrenzia;s__Labrenzia alba	gtdb:GCF_001404515.1	insdc.gca:GCA_001404515.1
MMP3495628	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Labrenzia;s__Labrenzia alba	gtdb:GCF_001404515.1	insdc.gca:GCA_001404295.1
MMP3493278	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Labrenzia;s__Labrenzia alba_A	gtdb:GCF_001404055.1	insdc.gca:GCA_001404055.1
MMP3492688	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Labrenzia;s__Labrenzia aggregata_A	gtdb:GCF_001999245.1	insdc.gca:GCA_001403915.1
MMP3490732	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Jannaschia;s__Jannaschia donghaensis	gtdb:GCF_001403795.1	insdc.gca:GCA_001403795.1
MMP3489929	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Jannaschia;s__Jannaschia rubra	gtdb:GCF_001403735.1	insdc.gca:GCA_001403735.1
MMP3393043	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Phaeobacter;s__Phaeobacter italicus	gtdb:GCF_001258055.1	insdc.gca:GCA_001258055.1
MMP3393042	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Phaeobacter;s__Phaeobacter italicus	gtdb:GCF_001258055.1	insdc.gca:GCA_001251095.1
MMP3368577	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A marinus_R	gtdb:GCF_001180325.1	insdc.gca:GCA_001180325.1
MMP3368576	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A marinus_K	gtdb:GCF_001180305.1	insdc.gca:GCA_001180305.1
MMP3368575	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A marinus_C	gtdb:GCF_001180285.1	insdc.gca:GCA_001180285.1
MMP3368574	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A marinus_H	gtdb:GCF_001180265.1	insdc.gca:GCA_001180265.1
MMP3368573	d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Synechococcales;f__Cyanobiaceae;g__Prochlorococcus_A;s__Prochlorococcus_A marinus_F	gtdb:GCF_001180245.1	insdc.gca:GCA_001180245.1
MMP3368572	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter ubique_D	gtdb:GCF_001180225.1	insdc.gca:GCA_001180225.1
MMP3368571	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter ubique_O	gtdb:GCF_001180205.1	insdc.gca:GCA_001180205.1
MMP3368570	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter ubique_F	gtdb:GCF_001180185.1	insdc.gca:GCA_001180185.1
MMP3368569	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter ubique_P	gtdb:GCF_001180165.1	insdc.gca:GCA_001180165.1
MMP3368568	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A		insdc.gca:GCA_001180145.1
MMP3368567	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter		insdc.gca:GCA_001180125.1
MMP3368566	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter ubique_K	gtdb:GCF_001180105.1	insdc.gca:GCA_001180105.1
MMP3368565	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp002101295	gtdb:GCF_002101295.1	insdc.gca:GCA_001180085.1
MMP3368564	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter ubique_G	gtdb:GCA_001180065.1	insdc.gca:GCA_001180065.1
MMP3368563	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter		insdc.gca:GCA_001180045.1
MMP3368562	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter ubique_A	gtdb:GCF_001180025.1	insdc.gca:GCA_001180025.1
MMP3368561	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A		insdc.gca:GCA_001180005.1
MMP3368560	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter ubique_J	gtdb:GCF_001179985.1	insdc.gca:GCA_001179985.1
MMP3368559	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter ubique_I	gtdb:GCF_001179965.1	insdc.gca:GCA_001179965.1
MMP3368558	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter_A;s__Pelagibacter_A ubique_A	gtdb:GCF_001179945.1	insdc.gca:GCA_001179945.1
MMP3368557	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter ubique_E	gtdb:GCF_001179925.1	insdc.gca:GCA_001179925.1
MMP3368556	d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Pelagibacterales;f__Pelagibacteraceae;g__Pelagibacter;s__Pelagibacter sp000299095	gtdb:GCF_000299095.1	insdc.gca:GCA_001179905.1
